@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature25 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature961 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.006989,0.010753,0,0,0.003765,0.006455,0,0.789528,0.843472,0.983915,2
0,0.003268,0,0,0.009836,0,0,0.771439,0.821138,0.957562,2
0.026144,0.045752,0,0,0.006579,0.026316,0,0.058506,0.067069,0.058681,2
0.008905,0.09528,0,0,0.000891,0.081996,0,0.372569,0.395481,0.456019,2
0.001359,0.004076,0,0,0.00136,0.00136,0,0.763097,0.814774,0.948785,2
0,0.1,0,0,0,0.064748,0,0.489302,0.513227,0.593824,2
0.001966,0.010319,0,0,0.00295,0.0059,0,0.774556,0.827518,0.964459,2
0.016473,0.010659,0,0,0.002908,0.004363,0,0.679463,0.726504,0.845452,2
0,0.066667,0,0,0.008403,0.042017,0,0.453565,0.475206,0.551024,2
0,0.041475,0,0,0.023148,0.018519,0,0.545443,0.574490,0.669173,2
0.030176,0.06119,0,0,0.006711,0.04698,0,0.364767,0.382059,0.437354,2
0.038647,0.043478,0,0,0.009709,0.029126,0,0.499332,0.531697,0.615296,2
0,0.08,0,0,0,0.060606,0,0.426429,0.450005,0.514670,2
0,0.049858,0,0,0.007133,0.034237,0,0.597783,0.634351,0.735745,2
0,0.078652,0,0,0.017685,0.05627,0,0.297691,0.303429,0.339407,2
0,0.005833,0,0,0.00417,0.003336,0,0.818035,0.873458,1.018968,2
0,0.127119,0,0,0.008547,0.08547,0,0.376036,0.392019,0.454953,2
0,0.13465,0,0,0.017986,0.111511,0,0.310085,0.316485,0.357681,2
0.00309,0.004326,0,0,0.004329,0.003092,0,0.764804,0.816872,0.952185,2
0.012163,0.004231,0,0,0.004233,0.001587,0,0.713643,0.762692,0.888670,2
0,0.051178,0,0,0.006065,0.039757,0,0.666949,0.709209,0.825421,2
0,0.030318,0,0,0.005382,0.024951,0,0.739781,0.788245,0.918823,2
0,0.007746,0,0,0.002326,0.005426,0,0.808331,0.862983,1.006506,2
0,0.128205,0,0,0.020183,0.108257,0,0.283162,0.291867,0.327561,2
0.003831,0.066411,0,0,0.002558,0.05243,0,0.536310,0.567250,0.658569,2
0.00252,0.006931,0,0,0.001261,0.001892,0,0.793325,0.847507,0.988380,2
